,node_814r.1_harmonico_60,node_814r.1_harmonico_180,node_814r.1_harmonico_300,node_814r.1_harmonico_420,node_814r.1_harmonico_540,node_814r.1_harmonico_660,node_814r.1_harmonico_780,node_814r.1_harmonico_900,node_814r.1_harmonico_1020,node_814r.1_harmonico_1140,node_814r.1_harmonico_1260,node_814r.1_harmonico_1380,node_814r.1_harmonico_1500,node_814r.1_harmonico_1620,node_814r.1_harmonico_1740,node_814r.1_harmonico_1860,node_814r.1_harmonico_1980,node_814r.1_harmonico_2100,node_814r.1_harmonico_2220,node_814r.1_harmonico_2340,node_814r.1_harmonico_2460,node_814r.1_harmonico_2580,node_814r.1_harmonico_2700,node_814r.1_harmonico_2820,node_814r.1_harmonico_2940
166,2422.6865982482245,10.627848469479876,22.37190761990286,5.593351923214149,1.320621868446268,0.4595356262846977,0.3251542776759252,0.472284916636161,0.8200155341078511,1.4044024283859347,2.3536144753072143,3.907686646067473,6.311603074549806,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
167,-200.61342822534763,5.811439699112899,-6.308287511342515,-13.358789120915953,-8.362104073862815,-5.559865773346095,-3.790855512708608,-2.4951182076296137,-1.4326539854076896,-0.49077146926383425,0.3546646478604927,0.962331356268382,0.7547335171836645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,-1410.8447968307698,3.934463939092785,-20.42308021353541,-14.582822702836836,-7.402014915709771,-4.441687921451423,-2.7344200188484775,-1.511670860631836,-0.4780799796809223,0.5411943092225117,1.7121507171135766,3.2452245384373324,5.3259236719750325,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
169,-1956.4626335016721,-11.958877097480523,-20.983056155935262,3.0247399089824385,3.4402676675270896,2.6342583371751673,1.914729741732897,1.2972441773615833,0.7350754367340419,0.1774188473215506,-0.45788154399498493,-1.3720229279259868,-3.1091205844078984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,-1010.6350933763332,-11.041725592750067,-3.468448826351939,8.64184146342727,6.054220202493289,4.121888895832744,2.7651923646518433,1.735915952919813,0.915751984825195,0.26354137544106965,-0.20155054009981815,-0.3997726401862263,-0.2742411077132984,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
171,2192.8721514776475,3.856084758417373,26.369826411478403,10.477244852625821,4.996545727117195,3.014825885940129,2.029538512436141,1.4524109732355708,1.0839030871790865,0.8305256718748741,0.6135908028939061,0.2797116897968981,-0.5855218467195626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,-7861.49380325069,29.179126725534047,-71.61320585468596,-50.110262694327574,-9.595397548619902,13.100281770017979,31.337230649378075,49.20463671827238,68.94590310810274,92.78527278889408,123.84452445792077,166.7650735918076,225.69761334533024,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
173,-11900.920731372687,-62.89236674771256,-120.07627431771812,-10.027041184856206,-7.994074597768229,-14.072144372125338,-20.876541725901333,-28.17983073891965,-36.43680248174041,-46.5408339866553,-60.47355717518523,-83.35743832655479,-128.60639039273104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,13921.579503624334,59.22170046987209,134.11050200462319,41.62587989261373,14.534127853101431,8.059098828818415,6.178110748140322,6.067013995193888,7.159486034407055,9.627759117738039,14.226587211793554,22.454441691764288,36.05217586758374,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
175,-781.5861043519045,37.262906416974786,-25.478017511114526,-74.76822655552779,-48.12495444749161,-32.267375943527604,-21.877802549740505,-13.930976264709992,-7.051842827660604,-0.5302389486830238,5.891877996680674,11.579317329396888,13.351341029807326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,-7785.275101118075,26.397695605077807,-109.36290932151526,-87.789941532344,-46.46117803432418,-28.71920154465859,-18.086507589635094,-10.115894823994516,-3.058625588961554,4.138959051802496,12.479736541538808,23.219000306397728,37.470250182185694,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
177,-11437.364463324398,-68.45889068082336,-132.82816709134332,8.356224845360716,14.329523193326095,11.22939366288503,8.046541666728555,5.207568506324157,2.5359803401496355,-0.24414820920868185,-3.6243142561110697,-8.798201638417911,-18.901222664431145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,-6129.647297890674,-66.1441094841673,-33.109586937117726,44.253972643459896,31.791972995976487,21.46436134598696,13.936744021293338,8.00724145504614,3.036384623977052,-1.2421196336429423,-4.814208321097504,-7.434181419470701,-9.189976474430972,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
179,12416.540105046204,18.535310705930474,153.19741834152026,67.18310270415353,34.2029550944144,21.539866379470254,14.705234730846573,10.17957922590283,6.731740572616932,3.752170798877001,0.7072277754450444,-3.3660534397577457,-10.811354843729154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,15016.19870882992,64.81763864676128,147.74881560385953,45.072629620102916,14.768116506944397,7.223819567143463,4.62710953964243,3.7628997434098284,3.856743726463627,4.83291220023684,7.035443678443223,11.279088682261003,18.604541007980956,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
181,-862.4768740300009,39.8871266529606,-30.602525188037973,-86.35201644318929,-57.97672511788922,-41.6704485676021,-31.595390744038827,-24.45824390227798,-18.802944996779875,-13.898805412184629,-9.414735152339745,-5.581800440660104,-4.108255730393213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
