,node_858.2_harmonico_60,node_858.2_harmonico_180,node_858.2_harmonico_300,node_858.2_harmonico_420,node_858.2_harmonico_540,node_858.2_harmonico_660,node_858.2_harmonico_780,node_858.2_harmonico_900,node_858.2_harmonico_1020,node_858.2_harmonico_1140,node_858.2_harmonico_1260,node_858.2_harmonico_1380,node_858.2_harmonico_1500
123,13392.462359015328,52.74112395656701,341.223843453109,136.21746082759068,70.44626116303442,46.98784813465013,35.04763357781807,27.682675002442757,22.583857975595137,18.772000158179786,15.758706850400847,13.268282279523424,11.125721639591852
124,14967.791853285526,5.076400183274852,-17.1428998245378,0.2267700795137347,1.0852279434383694,0.7795393129181714,0.6374119872551134,0.6025563101608788,0.6263643815295744,0.6866772040016971,0.7752997775371716,0.8930857984529306,1.05041411189565
125,-875.9884321355613,-2.7237996108223284,-9.696343598294979,5.00468786231696,1.30203806699541,0.5484985271044673,0.37395533040865203,0.35013402591460524,0.3766899658278356,0.42440330985150154,0.4841703181492155,0.5535693059246622,0.6301780820277013
126,-8416.65662068786,135.13834316492108,68.02307598798855,-108.83965115870798,-81.17382099500331,-61.26069560722253,-48.37096168528677,-39.32357758063458,-32.51354732600468,-27.10278545622794,-22.61468327404082,-18.755910473480665,-15.3361428039607
127,-12263.7924387006,-52.369093104527074,-318.8820450021388,-140.1058352570333,-71.19793967680134,-46.95726418264008,-34.759284039179214,-27.28269112080267,-22.123645021578643,-18.273774196693452,-15.236819797543607,-12.741985703798218,-10.634495181301084
128,-6533.589701839832,-146.39167870324542,-45.461337723645954,112.73153308097567,82.17087508406387,61.87738950015753,48.83251187467129,39.684107451789814,32.801390283306496,27.34101060511216,22.827236068095793,18.970406428844562,15.578382641741895
129,13386.09931534205,52.67126504279639,340.6005969445262,135.82500278387707,70.12711406837761,46.67092384040809,34.71222546203218,27.32018586550404,22.189736488795212,18.343273831147048,15.292932016038264,12.762840139641161,10.577110217791606
130,14967.436687482728,5.076816066515722,-17.141980725447457,0.2268873824807041,1.0852400422683528,0.7795678842137205,0.637465232913277,0.6026323006810221,0.6264608842853271,0.6867928602856695,0.7754341639613888,0.8932392894454778,1.0505873951700127
131,-875.9663945516836,-2.7238858166642217,-9.696952746861331,5.003802992893343,1.3014304235840104,0.5480081442751364,0.37352521208471623,0.34974030924269073,0.37632047577954697,0.4240506645849365,0.4838290866934426,0.5532343643748422,0.6298431607140311
132,-8416.377947165376,135.13305211148145,68.01074133980767,-108.84291624950939,-81.17589519081446,-61.26266562495014,-48.37297588074788,-39.3256467976908,-32.51565164966032,-27.104895937392502,-22.616767405369067,-18.75793388031626,-15.338070497367585
133,-12263.42236243102,-52.36968846607347,-318.8742021703808,-140.09665868460462,-71.19108237549668,-46.95154035727772,-34.75425858124154,-27.278182492030904,-22.119569541497956,-18.270093456403757,-15.233519821797103,-12.739067826069018,-10.631971511329404
134,-6533.531802043153,-146.3869208920371,-45.45063300860607,112.73425688510869,82.17270040741838,61.879164316874906,48.834345901821195,39.686003112770415,32.803326194073996,27.34295826704408,22.829163651339393,18.972279016268494,15.580160712350201
135,13385.70170426142,52.67194632820286,340.59307563628244,135.81706755543357,70.12119221769716,46.665977306529584,34.7078821823515,27.31628984697094,22.186214495436655,18.34009036655111,15.29007111684996,12.76029692839563,10.574886951216296
136,14967.77809060564,5.075233713937702,-17.14673833529127,0.22506499511256306,1.083953372777637,0.7783076273871447,0.6361512121419876,0.6012551235791932,0.6250301874558054,0.685325838910085,0.7739523975834286,0.8917678872094473,1.0491549942714737
137,-875.914436138778,-2.7245528565741655,-9.695530021630306,5.006688092900967,1.3035388892754058,0.5497056824782993,0.3749668578853884,0.3509958926112972,0.37742648323092715,0.4250285388596489,0.4846927607150638,0.5539938790450986,0.6305068081159757
138,-8416.554544096336,135.1349722868646,68.01371259249896,-108.84374951908923,-81.17707228519221,-61.263957640841234,-48.3743730566515,-39.32714568557584,-32.517239680810945,-27.10655090852642,-22.618457850531748,-18.75961882526889,-15.33969882435107
139,-12263.54964224628,-52.37028460694039,-318.8790035709633,-140.1006266336132,-71.19411480227673,-46.95423701860341,-34.756799117661686,-27.280630068739505,-22.121944049636326,-18.272394281773753,-15.235734558542202,-12.741176319318567,-10.633948671994858
140,-6533.597091874143,-146.39265692371285,-45.464317378629346,112.73034218453755,82.17001137473456,61.87655752256912,48.83165949665469,39.683227004243015,32.800487170196554,27.340095821866118,22.82632398298161,18.969514056060476,15.577529197657963
141,13386.162066849,52.67072268079411,340.60147563967496,135.82667968024865,70.12836706839485,46.6719428688587,34.71309428451778,27.32094260604362,22.19040055427112,18.343855679896812,15.293437109080713,12.763270578904159,10.577465315916353
142,14972.542824795677,5.127100818018555,-17.16891265607679,0.150932605816048,0.9596909171232446,0.6098903887820746,0.42601069517839685,0.3486811102705786,0.3274910395408033,0.3385369219596408,0.3714553576166037,0.42502911486271894,0.512465203647908
143,-886.0765401326361,-2.7444890394912487,-9.922130075365283,4.845960042995851,1.1251434859680294,0.3594752140197979,0.1713000011728342,0.13250841947854286,0.1435600037042324,0.17640542131109183,0.22431952085696072,0.2905161483495693,0.3846735581341911
144,-8426.04935589826,135.46810124930883,67.67679843636903,-111.25947622067731,-83.8788751490808,-64.27472704294836,-51.74721721501503,-43.09878356751821,-36.71645096767577,-31.76011047621868,-27.75520882052521,-24.413853513872617,-21.553003246858633
145,-12264.422899109846,-52.766824431032184,-321.796497194347,-142.00091741484567,-72.75265365358393,-48.544103321054436,-36.48404268950422,-29.188895627740393,-24.234315627354142,-20.603403120388464,-17.795289522706625,-15.53489947489927,-13.660883107256582
146,-6528.146912220276,-146.7276099096218,-44.6689210502664,115.31867915387411,84.99163658997216,65.00144998707277,52.31829091424206,43.56706929602272,37.106199380671534,32.08762279508629,28.034178123458144,24.657458635785613,21.771404089714384
147,13392.579621810692,53.111106898858516,343.64732659542784,137.5526275765203,71.57259679936651,48.17483059088007,36.36955944429582,29.17023573443155,24.253818674580955,20.63600137745215,17.82706212340936,15.552756076375024,13.642612694723093
148,14975.751888257071,5.151626211510793,-17.329584813347033,0.0014860511069284823,0.7500316046616348,0.3336158449301913,0.08028721283751178,-0.07320787767321697,-0.18102818326316658,-0.27171954004323157,-0.3620085261171591,-0.4606393669705578,-0.5547782752305781
